customer_id,customer_name,customer_segment,product_id,product_name,product_category,product_subcategory,product_manufacturer,order_details_id,order_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode
91,Bill Shonely,Corporate,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,1,CA-2015-100004,62,0.1,327,0.39,837,9/6/2015,New York City,New York,East,United States,10011,9/6/2015,Same Day
91,Bill Shonely,Corporate,764,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,Global,2,CA-2015-100004,18,0.2,565,0.26,2174,9/6/2015,New York City,New York,East,United States,10011,9/6/2015,Same Day
224,Dennis Kane,Consumer,161,AT&T EL51110 DECT,Technology,Phones,AT&T,3,CA-2015-100006,3,0,110,0.29,378,9/7/2015,New York City,New York,East,United States,10024,9/13/2015,Standard Class
62,Arthur Wiediger,Home Office,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,4,CA-2015-100032,53,0.1,272,0.38,715,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class
62,Arthur Wiediger,Home Office,1342,Recycled Premium Regency Composition Covers,Office Supplies,Binders,Other,5,CA-2015-100032,23,0.1,96,0.31,311,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class
62,Arthur Wiediger,Home Office,613,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,Eureka,6,CA-2015-100032,16,0.1,407,0.27,1506,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class
311,Greg Matthias,Consumer,812,Holmes Odor Grabber,Office Supplies,Appliances,Holmes,7,CA-2015-100051,79,0.2,318,0.35,909,9/6/2015,New York City,New York,East,United States,10011,9/12/2015,Standard Class
246,Ed Braxton,Corporate,1648,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones,8,CA-2015-100090,6,0.2,69,0.35,197,7/8/2015,San Francisco,California,West,United States,94122,7/12/2015,Standard Class
246,Ed Braxton,Corporate,819,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon,9,CA-2015-100090,3,0.2,-88,-0.18,502,7/8/2015,San Francisco,California,West,United States,94122,7/12/2015,Standard Class
388,John Lee,Consumer,920,Imation Clip USB flash drive - 8 GB,Technology,Accessories,Imation,10,CA-2015-100136,130,0.3,1399,0.41,3413,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class
